no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
113,29,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576586,2025-06-22 14:16:26
114,29,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576586,2025-06-22 14:16:26
115,29,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576586,2025-06-22 14:16:26
116,29,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576586,2025-06-22 14:16:26
117,30,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576587,2025-06-22 14:16:27
118,30,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576587,2025-06-22 14:16:27
119,30,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576587,2025-06-22 14:16:27
120,30,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576587,2025-06-22 14:16:27
121,31,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576588,2025-06-22 14:16:28
122,31,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576588,2025-06-22 14:16:28
123,31,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576588,2025-06-22 14:16:28
124,31,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576588,2025-06-22 14:16:28
125,32,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576589,2025-06-22 14:16:29
126,32,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576589,2025-06-22 14:16:29
127,32,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576589,2025-06-22 14:16:29
128,32,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576589,2025-06-22 14:16:29
129,33,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576590,2025-06-22 14:16:30
130,33,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576590,2025-06-22 14:16:30
131,33,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576590,2025-06-22 14:16:30
132,33,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576590,2025-06-22 14:16:30
133,34,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576591,2025-06-22 14:16:31
134,34,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576591,2025-06-22 14:16:31
135,34,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576591,2025-06-22 14:16:31
136,34,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576591,2025-06-22 14:16:31
137,35,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576592,2025-06-22 14:16:32
